@relation ArabicTextComplexity

@attribute avgSentenceLength numeric
@attribute avgWordLength numeric
@attribute typeTokenRatio numeric
@attribute longWordRatio numeric
@attribute consonantClusterRatio numeric
@attribute complexityLevel {A,B,C,A+,B+}

@data
5,6.2,1,0.2,2,B
7,4.857143,1,0.142857,2.571429,B
5,5.2,1,0,1.8,B
6,5.666667,1,0.333333,2.833333,B
5,6.6,1,0.4,1.6,B
6,6.166667,1,0.5,2.666667,B
8,5.625,1,0.25,2.25,B
7,6.571429,0.857143,0.428571,2.857143,B
7,5.714286,1,0.285714,2.285714,B
7,7,1,0.714286,3,B
8,5.75,1,0.25,2,B
8,5.625,1,0.25,2.125,B
8,5.25,1,0.25,2.125,B
9,5.222222,1,0.222222,1.666667,B
6,5.166667,1,0.166667,1.166667,B
4,4.75,1,0.125,2,B
4,4.625,1,0.125,1.375,B
4,4.375,1,0,1.5,B
5,4.3,1,0,2,B
3,6.166667,1,0.666667,2.333333,B
4,4.75,1,0.375,2.25,B
8,4.5,1,0,2,B
8,4.25,1,0.125,1.5,B
8,4.5,1,0.125,1.375,B
8,4.75,1,0,2.375,B
3.5,4.857143,1,0.142857,1.857143,B
4,4.875,1,0.25,1.75,B
4.5,4,1,0.111111,1.555556,B
3.5,4.428571,1,0.142857,1.571429,B
9,4.555556,1,0.111111,1.666667,B
6,6,1,0.333333,2.166667,B
6,4.166667,1,0,1.833333,B
8,3.75,1,0,1.25,B
